guid,tag
8,negative
1576,negative
2320,positive
4912,positive
3821,positive
1306,negative
4555,positive
259,negative
3216,positive
881,negative
1037,positive
2463,positive
3760,positive
3102,positive
4074,neutral
2155,positive
5009,negative
3292,positive
3599,negative
1061,positive
3927,negative
4461,negative
716,positive
2505,positive
1803,positive
2157,negative
1612,positive
4052,negative
3641,positive
5097,positive
2358,negative
349,positive
4710,positive
2991,positive
459,positive
1737,positive
1993,positive
116,negative
2949,positive
2792,positive
1580,negative
2021,neutral
4843,positive
4827,positive
3119,positive
3298,positive
4541,neutral
1952,positive
1839,positive
2127,negative
3872,negative
3023,positive
2351,neutral
4507,negative
600,positive
1516,positive
4601,negative
1046,positive
1227,negative
4378,positive
4357,positive
4094,positive
5027,positive
1969,negative
4754,negative
861,positive
136,positive
4466,positive
4916,positive
1025,negative
4922,positive
1233,positive
1173,positive
532,positive
51,positive
3008,negative
1578,neutral
4945,positive
2572,neutral
173,negative
3439,positive
755,negative
2918,negative
1417,negative
3152,positive
121,positive
780,negative
4319,positive
1191,positive
1573,negative
1406,positive
3955,negative
2904,positive
2721,positive
58,negative
3149,negative
3690,positive
3243,positive
3476,positive
1393,negative
3362,positive
1552,positive
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,positive
2823,positive
1021,positive
3103,positive
4981,positive
3110,negative
824,positive
1999,positive
1769,positive
4038,positive
2499,positive
4287,positive
4913,positive
3181,positive
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,positive
749,positive
489,positive
3464,positive
4910,positive
5000,positive
2717,positive
939,positive
4944,positive
4560,positive
4471,negative
313,positive
3002,negative
204,positive
4082,positive
960,positive
740,negative
31,positive
3324,negative
264,negative
1922,positive
3424,positive
1192,negative
4603,negative
570,positive
2668,positive
1645,positive
3271,positive
89,positive
3975,positive
3397,positive
3638,negative
1228,positive
2744,positive
4545,positive
730,positive
2958,negative
1717,positive
1324,positive
4312,negative
3374,negative
4430,negative
3945,positive
290,negative
4061,negative
1168,positive
1667,positive
3139,neutral
964,positive
3495,negative
932,positive
4483,positive
3227,neutral
5108,positive
1931,positive
5040,positive
3174,positive
1381,positive
2800,neutral
4911,negative
1768,neutral
4087,positive
1648,positive
3909,positive
4348,positive
3170,negative
3774,positive
3492,positive
1994,positive
2971,positive
5043,negative
4552,negative
4372,positive
1682,positive
4046,positive
4022,positive
174,positive
4387,positive
677,negative
1133,positive
429,negative
4040,positive
2114,neutral
3998,negative
1020,negative
2676,positive
2367,positive
5037,positive
2863,negative
2988,positive
2746,positive
1431,positive
2550,positive
286,positive
739,neutral
3348,positive
3948,positive
3224,negative
1096,positive
1584,negative
3660,negative
3898,positive
751,neutral
3963,negative
3891,negative
312,negative
867,negative
3268,positive
1697,negative
1791,positive
3701,positive
2055,negative
3914,positive
3572,positive
1660,neutral
2943,positive
424,positive
1285,positive
3039,positive
1642,positive
1111,negative
1539,positive
3401,positive
2098,negative
3400,positive
4345,positive
1352,positive
4681,positive
3005,positive
2362,positive
2154,negative
1512,positive
2677,neutral
848,positive
1243,negative
3637,positive
1990,negative
2627,positive
948,positive
5039,negative
1587,positive
55,negative
4738,positive
4205,positive
3494,negative
2758,neutral
479,positive
1898,positive
3046,neutral
1088,positive
1039,negative
1875,negative
1100,negative
224,positive
2585,negative
2888,negative
1309,neutral
4693,negative
3651,positive
383,positive
1057,positive
2607,positive
3306,positive
310,positive
2646,negative
1490,positive
4860,positive
1606,neutral
3554,positive
3580,positive
4947,positive
3889,positive
5,positive
2704,positive
3346,positive
2480,negative
3842,positive
4807,positive
3001,positive
4715,positive
4410,negative
1290,positive
4644,negative
4294,negative
4847,negative
2750,negative
1861,negative
4272,positive
617,negative
1574,positive
2332,negative
1974,neutral
3399,positive
3714,negative
5092,positive
2709,positive
1435,positive
4449,positive
2939,positive
1429,positive
145,positive
250,negative
4871,neutral
1868,positive
1508,positive
4811,positive
3222,positive
566,neutral
558,positive
38,positive
533,positive
2527,positive
2078,positive
3731,negative
124,positive
4774,positive
967,negative
3016,negative
2911,negative
4613,positive
4201,negative
4877,positive
4306,negative
3671,positive
4255,negative
1105,negative
1806,negative
3061,positive
1830,positive
3417,negative
60,positive
1933,negative
3022,positive
2635,neutral
2815,positive
1301,negative
575,positive
4925,positive
4112,positive
5127,positive
4795,positive
334,positive
3126,positive
912,negative
3969,neutral
3451,positive
3336,positive
923,negative
2737,negative
2443,negative
1312,positive
3505,positive
2764,positive
4580,negative
3854,negative
2570,negative
2989,positive
2115,positive
3462,positive
1699,positive
4898,positive
4138,positive
1866,positive
2915,positive
1635,positive
1908,positive
4030,positive
4771,negative
3248,positive
494,positive
3161,positive
20,positive
3300,positive
4242,positive
1476,positive
1879,positive
1384,negative
1616,positive
4376,negative
3884,positive
2026,positive
4291,negative
4790,positive
657,positive
2873,negative
812,positive
2893,positive
3296,positive
126,positive
2469,negative
3206,positive
2019,positive
916,positive
4621,negative
1620,positive
184,positive
5017,positive
1201,negative
5111,positive
4417,positive
4431,negative
4434,neutral
4920,negative
272,positive
279,negative
3020,positive
2325,positive
2858,positive
4288,negative
1596,positive
803,negative
4363,negative
1895,negative
3044,negative
4721,positive
698,positive
1426,positive
2016,negative
3745,negative
4903,positive
534,positive
3650,positive
3371,positive
112,neutral
176,positive
573,positive
4919,positive
3276,positive
480,positive
87,negative
911,positive
3705,positive
3082,positive
2537,positive
4450,negative
1497,positive
3083,positive
443,positive
2957,positive
2099,negative
2962,positive
460,positive
1918,positive
3052,positive
13,positive
863,neutral
1252,positive
3570,neutral
4684,negative
2046,negative
1537,positive
2555,positive
1052,negative
1713,positive
2597,positive
282,positive
3833,positive
4885,positive
4587,positive
1401,positive
1281,positive
2085,positive
565,positive
1205,positive
1560,positive
4064,positive
1036,positive
2606,neutral
4777,positive
588,neutral
609,positive
3279,positive
3511,positive
4796,positive
2107,positive
1106,positive
3395,negative
2546,positive
4678,negative
1000,negative
1048,positive
1059,positive
1485,positive
3195,negative
2029,negative
